ID_Venda,ID_Cliente,ID_Produto,ID_Tempo,ID_Vendedor,Quantidade,Valor_Unitario,Desconto,Metodo_Pagamento,Status_Venda,Valor_Total,Receita_Liquida
1,30,19,2115,20,9,432.55,43.66,Dinheiro,Pendente,3892.95,3849.29
2,63,22,312,11,7,172.76,49.88,Paypal,Cancelada,1209.32,1159.44
3,33,8,2044,17,1,584.77,45.48,MBWay,Pendente,584.77,539.29
4,33,10,901,4,1,463.15,42.55,Paypal,Concluída,463.15,420.6
5,52,31,1526,3,4,538.03,33.51,MBWay,Pendente,2152.12,2118.61
6,56,15,3653,18,5,813.87,21.46,Paypal,Pendente,4069.35,4047.89
7,40,45,532,11,1,580.21,37.44,MBWay,Pendente,580.21,542.77
8,64,11,3438,3,4,479.09,38.42,Paypal,Pendente,1916.36,1877.94
9,31,32,294,15,2,931.66,25.05,Dinheiro,Concluída,1863.32,1838.27
10,55,20,132,16,3,279.32,9.15,Paypal,Concluída,837.96,828.81
11,95,48,2914,1,9,651.32,14.75,Dinheiro,Cancelada,5861.88,5847.13
12,8,32,596,16,5,158.54,19.25,MBWay,Cancelada,792.7,773.45
13,25,5,1966,20,2,327.56,44.09,Dinheiro,Pendente,655.12,611.03
14,80,34,2944,13,5,702.54,19.03,Paypal,Cancelada,3512.7,3493.67
15,90,40,2538,1,2,415.66,16.25,Cartão de Crédito,Concluída,831.32,815.07
16,56,23,1303,1,5,696.8,12.32,MBWay,Cancelada,3484.0,3471.68
17,76,8,1271,19,5,120.74,27.05,Cartão de Crédito,Pendente,603.7,576.65
18,7,38,1778,12,1,159.58,39.8,Paypal,Concluída,159.58,119.78
19,90,8,2586,16,5,922.67,24.9,Paypal,Cancelada,4613.35,4588.45
20,78,2,3415,17,5,892.31,36.94,MBWay,Pendente,4461.55,4424.61
21,40,37,2536,8,9,787.13,36.64,Paypal,Concluída,7084.17,7047.53
22,75,23,1523,10,5,878.3,9.79,MBWay,Concluída,4391.5,4381.71
23,93,23,979,2,5,141.82,11.33,MBWay,Concluída,709.1,697.77
24,53,41,1437,11,2,841.76,49.96,Dinheiro,Cancelada,1683.52,1633.56
25,9,6,3482,6,6,476.5,7.79,Paypal,Cancelada,2859.0,2851.21
26,21,27,1183,20,6,98.69,45.15,Dinheiro,Pendente,592.14,546.99
27,88,14,2095,14,1,36.79,14.87,Paypal,Pendente,36.79,21.92
28,82,29,1499,9,7,43.78,17.66,Cartão de Crédito,Cancelada,306.46,288.8
29,40,37,3553,19,4,197.39,3.7,Paypal,Concluída,789.56,785.86
30,68,28,2979,3,6,434.12,5.36,Paypal,Pendente,2604.72,2599.36
31,40,43,855,7,9,796.76,33.47,Paypal,Cancelada,7170.84,7137.37
32,8,31,851,16,4,797.88,44.01,Paypal,Concluída,3191.52,3147.51
33,45,36,2202,18,8,874.66,7.81,MBWay,Concluída,6997.28,6989.47
34,84,50,2400,17,7,681.89,5.55,Paypal,Concluída,4773.23,4767.68
35,26,8,930,5,6,915.19,16.71,Paypal,Concluída,5491.14,5474.43
36,72,35,3237,3,6,464.3,2.36,Dinheiro,Concluída,2785.8,2783.44
37,59,34,2628,4,5,161.68,18.0,Dinheiro,Pendente,808.4,790.4
38,69,8,2735,11,6,820.8,4.59,MBWay,Pendente,4924.8,4920.21
39,31,8,2704,10,7,964.09,27.82,MBWay,Cancelada,6748.63,6720.81
40,96,27,388,10,1,308.36,6.78,Cartão de Crédito,Concluída,308.36,301.58
41,41,47,372,3,1,203.81,46.19,MBWay,Pendente,203.81,157.62
42,42,13,2091,6,5,506.44,16.6,Dinheiro,Pendente,2532.2,2515.6
43,98,3,3038,10,7,679.1,30.65,MBWay,Concluída,4753.7,4723.05
44,74,34,940,2,8,701.83,14.1,Cartão de Crédito,Concluída,5614.64,5600.54
45,51,49,1398,11,7,650.2,2.54,Cartão de Crédito,Pendente,4551.4,4548.86
46,89,46,717,3,7,406.96,5.38,Cartão de Crédito,Cancelada,2848.72,2843.34
47,31,45,126,14,6,913.62,44.22,MBWay,Cancelada,5481.72,5437.5
48,96,8,2018,19,5,643.97,15.1,Dinheiro,Cancelada,3219.85,3204.75
49,94,49,533,19,2,70.81,4.83,Dinheiro,Concluída,141.62,136.79
50,73,26,1386,2,9,243.59,3.39,MBWay,Cancelada,2192.31,2188.92
51,45,47,2049,1,1,967.43,26.95,Paypal,Concluída,967.43,940.48
52,77,18,3591,13,7,804.57,26.37,Cartão de Crédito,Cancelada,5631.99,5605.62
53,81,35,1988,19,1,967.54,29.95,Cartão de Crédito,Cancelada,967.54,937.59
54,99,25,749,20,8,612.44,27.01,Dinheiro,Cancelada,4899.52,4872.51
55,25,45,1027,17,5,151.26,35.9,Cartão de Crédito,Concluída,756.3,720.4
56,16,40,3519,20,3,129.02,0.16,MBWay,Pendente,387.06,386.9
57,72,36,3476,17,6,790.1,40.36,Cartão de Crédito,Concluída,4740.6,4700.24
58,1,7,417,11,5,175.04,40.8,Dinheiro,Pendente,875.2,834.4
59,27,2,2991,15,2,854.89,45.26,Paypal,Pendente,1709.78,1664.52
60,55,29,352,3,6,211.62,35.49,Dinheiro,Concluída,1269.72,1234.23
61,98,11,2659,11,6,166.36,29.89,MBWay,Concluída,998.16,968.27
62,36,21,2635,2,1,521.34,4.24,Cartão de Crédito,Pendente,521.34,517.1
63,74,37,2156,3,3,690.74,1.4,Paypal,Pendente,2072.22,2070.82
64,94,41,2712,7,9,207.68,6.3,Paypal,Pendente,1869.12,1862.82
65,54,39,3164,2,4,293.15,42.19,MBWay,Concluída,1172.6,1130.41
66,81,5,2529,16,9,681.39,1.97,Paypal,Cancelada,6132.51,6130.54
67,13,17,3311,6,7,332.05,10.06,MBWay,Concluída,2324.35,2314.29
68,46,30,1308,13,4,853.08,19.6,Dinheiro,Concluída,3412.32,3392.72
69,71,45,1889,3,7,597.88,38.21,Dinheiro,Cancelada,4185.16,4146.95
70,70,26,1729,18,4,400.44,32.65,Paypal,Pendente,1601.76,1569.11
71,24,15,2453,6,3,370.29,29.87,Paypal,Concluída,1110.87,1081.0
72,83,27,2927,20,4,907.54,10.26,MBWay,Pendente,3630.16,3619.9
73,52,15,1847,18,9,753.2,2.3,Paypal,Cancelada,6778.8,6776.5
74,1,47,845,3,4,52.01,15.86,MBWay,Concluída,208.04,192.18
75,65,2,1126,1,3,107.28,44.41,Paypal,Concluída,321.84,277.43
76,63,34,1010,1,9,374.92,30.85,MBWay,Pendente,3374.28,3343.43
77,58,37,114,9,6,760.24,18.36,MBWay,Pendente,4561.44,4543.08
78,28,13,2696,12,2,768.81,39.94,Paypal,Cancelada,1537.62,1497.68
79,19,2,2038,3,8,960.38,44.26,Paypal,Pendente,7683.04,7638.78
80,92,10,3545,8,9,694.74,23.23,MBWay,Cancelada,6252.66,6229.43
81,75,11,301,13,9,958.65,12.9,Dinheiro,Concluída,8627.85,8614.95
82,5,10,1803,9,1,13.31,28.06,MBWay,Pendente,13.31,-14.75
83,82,37,3374,18,1,845.81,33.07,Cartão de Crédito,Concluída,845.81,812.74
84,40,22,260,14,3,809.6,36.52,MBWay,Concluída,2428.8,2392.28
85,17,4,3495,2,6,177.7,6.87,Dinheiro,Concluída,1066.2,1059.33
86,71,12,920,18,5,771.99,26.21,MBWay,Concluída,3859.95,3833.74
87,87,10,1196,17,6,932.78,32.29,Dinheiro,Pendente,5596.68,5564.39
88,91,21,2537,20,4,996.23,31.18,Paypal,Concluída,3984.92,3953.74
89,42,50,1374,19,2,469.48,7.55,MBWay,Concluída,938.96,931.41
90,15,17,1094,7,2,195.91,45.92,Dinheiro,Concluída,391.82,345.9
91,47,36,651,13,2,931.83,47.95,Paypal,Concluída,1863.66,1815.71
92,86,5,700,9,2,724.0,2.92,Dinheiro,Pendente,1448.0,1445.08
93,34,36,906,14,7,911.2,16.92,Cartão de Crédito,Cancelada,6378.4,6361.48
94,33,36,12,11,9,917.16,44.69,Cartão de Crédito,Pendente,8254.44,8209.75
95,2,31,1796,1,1,155.42,26.63,Dinheiro,Pendente,155.42,128.79
96,5,27,2940,19,5,607.51,25.22,Cartão de Crédito,Concluída,3037.55,3012.33
97,38,38,2625,9,9,915.26,31.39,Paypal,Pendente,8237.34,8205.95
98,18,39,4,5,1,701.71,8.12,Dinheiro,Pendente,701.71,693.59
99,4,21,1933,15,4,879.25,23.12,Paypal,Pendente,3517.0,3493.88
100,76,39,1358,10,1,420.23,45.07,Paypal,Concluída,420.23,375.16
